Index,X,Y
815,2074375,366375
816,2074625,366375
817,2074875,366375
818,2075125,366375
819,2075375,366375
820,2075625,366375
821,2075875,366375
822,2076125,366375
823,2076375,366375
824,2076625,366375
825,2076875,366375
826,2077125,366375
827,2077375,366375
828,2077625,366375
829,2077875,366375
830,2078125,366375
831,2078375,366375
832,2078625,366375
833,2078875,366375
834,2079125,366375
835,2079375,366375
836,2079625,366375
837,2079875,366375
838,2080125,366375
839,2080375,366375
840,2080625,366375
841,2080875,366375
842,2081125,366375
843,2081375,366375
844,2081625,366375
845,2081875,366375
846,2082125,366375
847,2082375,366375
848,2082625,366375
849,2082875,366375
850,2083125,366375
851,2083375,366375
852,2083625,366375
853,2083875,366375
854,2084125,366375
855,2084389.257,366375
856,2070125,366125
857,2069712.703,366287.297
858,2069875,366125
859,2070375,366125
860,2070625,366125
861,2070875,366125
862,2071125,366125
863,2071375,366125
864,2071625,366125
865,2071875,366125
866,2072125,366125
867,2072375,366125
868,2072625,366125
869,2072875,366125
870,2073125,366125
871,2073375,366125
872,2073625,366125
873,2073875,366125
874,2074125,366125
875,2074375,366125
876,2074625,366125
877,2074875,366125
878,2075125,366125
879,2075375,366125
880,2075625,366125
881,2075875,366125
882,2076125,366125
883,2076375,366125
884,2076625,366125
885,2076875,366125
886,2077125,366125
887,2077375,366125
888,2077625,366125
889,2077875,366125
890,2078125,366125
891,2078375,366125
892,2078625,366125
893,2078875,366125
894,2079125,366125
895,2079375,366125
896,2079625,366125
897,2079875,366125
898,2080125,366125
899,2080375,366125
900,2080625,366125
901,2080875,366125
902,2081125,366125
903,2081375,366125
904,2081625,366125
905,2081875,366125
906,2082125,366125
907,2082375,366125
908,2082625,366125
909,2082875,366125
910,2083125,366125
911,2083375,366125
912,2083625,366125
913,2083875,366125
914,2084125,366125
915,2084396.014,366125
916,2069466.703,366033.297
917,2069625,365875
918,2069875,365875
919,2070125,365875
920,2070375,365875
921,2070625,365875
922,2070875,365875
923,2071125,365875
924,2071375,365875
925,2071625,365875
926,2071875,365875
927,2072125,365875
928,2072375,365875
929,2072625,365875
930,2072875,365875
931,2073125,365875
932,2073375,365875
933,2073625,365875
934,2073875,365875
935,2074125,365875
936,2074375,365875
937,2074625,365875
938,2074875,365875
939,2075125,365875
940,2075375,365875
941,2075625,365875
942,2075875,365875
943,2076125,365875
944,2076375,365875
945,2076625,365875
946,2076875,365875
947,2077125,365875
948,2077375,365875
949,2077625,365875
950,2077875,365875
951,2078125,365875
952,2078375,365875
953,2078625,365875
954,2078875,365875
955,2079125,365875
956,2079375,365875
957,2079625,365875
958,2079875,365875
959,2080125,365875
960,2080375,365875
961,2080625,365875
962,2080875,365875
963,2081125,365875
964,2081375,365875
965,2081625,365875
966,2081875,365875
967,2082125,365875
968,2082375,365875
969,2082625,365875
970,2082875,365875
971,2083125,365875
972,2083375,365875
973,2083625,365875
974,2083875,365875
975,2084125,365875
976,2084402.771,365875
977,2069220.703,365779.297
978,2069375,365625
979,2069625,365625
980,2069875,365625
981,2070125,365625
982,2070375,365625
983,2070625,365625
984,2070875,365625
985,2071125,365625
986,2071375,365625
987,2071625,365625
988,2071875,365625
989,2072125,365625
990,2072375,365625
991,2072625,365625
992,2072875,365625
993,2073125,365625
994,2073375,365625
995,2073625,365625
996,2073875,365625
997,2074125,365625
998,2074375,365625
999,2074625,365625
1000,2074875,365625
1001,2075125,365625
1002,2075375,365625
1003,2075625,365625
1004,2075875,365625
1005,2076125,365625
1006,2076375,365625
1007,2076625,365625
