Index,X,Y
338,2052987.705,348895.6477
339,2057426.563,348697.4719
340,2057080.307,348351.216
341,2045887.819,336250.9756
342,2046121.776,335773.7039
343,2046000.118,335960.8693
344,2052785.847,348498.7748
345,2052794.494,348511.035
346,2052813.435,348550.7584
347,2052818.381,348559.3768
348,2052862.741,348649.0637
349,2056425.229,348135.9758
350,2035331.693,348361.5866
351,2052529,348370.5258
352,2052474.378,348281.8213
353,2045703.53,348189.957
354,2045683.655,348230.8722
355,2045638.91,348320.3714
356,2052405.43,348204.4103
357,2052328.885,348137.5555
358,2051674.817,347658.1957
359,2051764.92,347702.402
360,2051855,347751.3245
361,2051938.678,347806.3063
362,2052017.01,347871.1064
363,2046411.049,347255.7442
364,2046341.25,347332.0438
365,2045774.026,348049.1916
366,2045726.984,348139.6988
367,2055966.673,348004.9601
368,2051185.308,347523.2051
369,2051252.842,347541.0538
370,2051284.082,347549.7197
371,2051381.33,347575.379
372,2051479.602,347601.6695
373,2051577.727,347627.3388
374,2045817.104,347955.4921
375,2045869.781,347870.1578
376,2045935.418,347789.5862
377,2046139.892,347558.404
378,2046207.157,347483.3924
379,2046274.705,347407.8383
380,2052095.634,347938.7526
381,2052172.824,348005.8406
382,2052249.962,348071.1855
383,2049525.551,347148.8642
384,2049620.142,347187.7148
385,2050891.608,347444.3001
386,2050792.656,347418.0791
387,2050693.103,347397.5483
